"dataset_name","numeric_subject_id","label_id","split"
"Shimmer_11_session11_DRINK","1","2","train"
"Shimmer_11_session11_DRINK","2","2","test"
"Shimmer_11_session11_DRINK","3","1","train"
"Shimmer_11_session11_DRINK","4","1","test"
"Shimmer_11_session11_DRINK","5","1","vali"
"Shimmer_11_session11_DRINK","6","1","train"
"Shimmer_11_session11_DRINK","7","2","vali"
"Shimmer_11_session11_DRINK","8","1","train"
"Shimmer_11_session11_DRINK","9","1","vali"
"Shimmer_11_session11_DRINK","10","1","test"
"Shimmer_11_session11_DRINK","11","2","test"
"Shimmer_11_session11_DRINK","12","1","test"
"Shimmer_11_session11_DRINK","13","2","test"
"Shimmer_11_session11_DRINK","14","1","test"
"Shimmer_11_session11_DRINK","15","1","train"
"Shimmer_11_session11_DRINK","16","1","train"
"Shimmer_11_session11_DRINK","17","2","train"
"Shimmer_11_session11_DRINK","18","2","train"
"Shimmer_11_session11_DRINK","19","1","train"
"Shimmer_11_session11_DRINK","20","2","test"
"Shimmer_11_session11_DRINK","21","2","train"
"Shimmer_11_session11_DRINK","22","1","train"
"Shimmer_11_session11_DRINK","23","1","vali"
"Shimmer_11_session11_DRINK","24","1","test"
"Shimmer_11_session11_DRINK","25","2","train"
"Shimmer_11_session11_DRINK","26","2","train"
"Shimmer_11_session11_DRINK","27","1","test"
"Shimmer_11_session11_DRINK","28","2","train"
"Shimmer_11_session11_DRINK","29","1","train"
"Shimmer_11_session11_DRINK","30","2","train"
"Shimmer_11_session11_DRINK","31","1","test"
"Shimmer_11_session11_DRINK","32","2","vali"
"Shimmer_11_session11_DRINK","33","1","train"
"Shimmer_11_session11_DRINK","34","2","train"
"Shimmer_11_session11_DRINK","35","2","train"
"Shimmer_11_session11_DRINK","36","2","train"
"Shimmer_11_session11_DRINK","37","1","train"
"Shimmer_11_session11_DRINK","38","1","train"
"Shimmer_11_session11_DRINK","39","1","train"
"Shimmer_11_session11_DRINK","40","2","test"
"Shimmer_11_session11_DRINK","41","1","train"
"Shimmer_11_session11_DRINK","42","1","train"
"Shimmer_11_session11_DRINK","43","1","train"
"Shimmer_11_session11_DRINK","44","2","vali"
"Shimmer_11_session11_DRINK","45","2","train"
"Shimmer_11_session11_DRINK","46","1","train"
"Shimmer_11_session11_DRINK","47","2","train"
"Shimmer_11_session11_DRINK","48","1","train"
"Shimmer_11_session11_DRINK","49","2","vali"
"Shimmer_11_session11_DRINK","50","2","train"
"Shimmer_11_session11_DRINK","51","1","vali"
"Shimmer_11_session11_DRINK","52","2","test"
"Shimmer_11_session11_DRINK","53","2","train"
"Shimmer_11_session11_DRINK","54","1","train"
"Shimmer_11_session11_DRINK","55","1","train"
"Shimmer_11_session11_DRINK","56","1","train"
"Shimmer_11_session11_DRINK","57","1","train"
"Shimmer_11_session11_DRINK","58","1","vali"
"Shimmer_11_session11_DRINK","59","1","train"
"Shimmer_11_session11_DRINK","60","1","test"
"Shimmer_11_session11_DRINK","61","1","vali"
"Shimmer_11_session11_DRINK","62","1","train"
"Shimmer_11_session11_DRINK","63","1","vali"
"Shimmer_11_session11_DRINK","64","1","vali"
"Shimmer_11_session11_DRINK","65","1","train"
"Shimmer_11_session11_DRINK","66","2","train"
"Shimmer_11_session11_DRINK","67","1","test"
"Shimmer_11_session11_DRINK","68","2","train"
"Shimmer_11_session11_DRINK","69","1","train"
"Shimmer_11_session11_DRINK","70","1","train"
"Shimmer_11_session11_DRINK","71","2","vali"
"Shimmer_11_session11_DRINK","72","1","test"
"Shimmer_11_session11_DRINK","73","1","train"
"Shimmer_11_session11_DRINK","74","2","train"
"Shimmer_11_session11_DRINK","75","1","train"
"Shimmer_11_session11_DRINK","76","1","train"
"Shimmer_11_session11_DRINK","77","2","train"
"Shimmer_11_session11_DRINK","78","1","test"
"Shimmer_11_session11_DRINK","79","1","train"
"Shimmer_11_session11_DRINK","80","1","vali"
"Shimmer_11_session11_DRINK","81","2","test"
"Shimmer_11_session11_DRINK","82","1","vali"
"Shimmer_11_session11_DRINK","83","1","train"
"Shimmer_11_session11_DRINK","84","2","vali"
"Shimmer_11_session11_DRINK","85","1","test"
"Shimmer_11_session11_DRINK","86","1","train"
"Shimmer_11_session11_DRINK","87","2","train"
"Shimmer_11_session11_DRINK","88","1","vali"
"Shimmer_11_session11_DRINK","89","2","test"
"Shimmer_11_session11_DRINK","90","1","train"
"Shimmer_11_session11_DRINK","91","1","train"
"Shimmer_11_session11_DRINK","92","1","test"
"Shimmer_11_session11_DRINK","93","1","vali"
"Shimmer_11_session11_DRINK","94","1","train"
"Shimmer_11_session11_DRINK","95","1","train"
"Shimmer_11_session11_DRINK","96","0","train"
"Shimmer_11_session11_DRINK","97","0","test"
"Shimmer_11_session11_DRINK","98","0","vali"
"Shimmer_11_session11_DRINK","99","0","vali"
"Shimmer_11_session11_DRINK","100","0","test"
"Shimmer_11_session11_DRINK","101","0","train"
"Shimmer_11_session11_DRINK","102","0","train"
"Shimmer_11_session11_DRINK","103","0","test"
"Shimmer_11_session11_DRINK","104","0","train"
"Shimmer_11_session11_DRINK","105","0","train"
"Shimmer_11_session11_DRINK","106","0","train"
"Shimmer_11_session11_DRINK","107","0","train"
"Shimmer_11_session11_DRINK","108","0","train"
"Shimmer_11_session11_DRINK","109","0","vali"
"Shimmer_11_session11_DRINK","110","0","train"
"Shimmer_11_session11_DRINK","111","0","test"
"Shimmer_11_session11_DRINK","112","0","train"
"Shimmer_11_session11_DRINK","113","0","test"
"Shimmer_11_session11_DRINK","114","0","vali"
"Shimmer_11_session11_DRINK","115","0","train"
"Shimmer_11_session11_DRINK","116","0","train"
"Shimmer_11_session11_DRINK","117","0","vali"
"Shimmer_11_session11_DRINK","118","0","train"
"Shimmer_11_session11_DRINK","119","0","test"
"Shimmer_11_session11_DRINK","120","0","train"
"Shimmer_11_session11_DRINK","121","0","train"
"Shimmer_11_session11_DRINK","122","0","train"
"Shimmer_11_session11_DRINK","123","0","train"
"Shimmer_11_session11_DRINK","124","0","vali"
"Shimmer_11_session11_DRINK","125","0","train"
"Shimmer_11_session11_DRINK","126","0","train"
"Shimmer_11_session11_DRINK","127","0","train"
"Shimmer_11_session11_DRINK","128","0","vali"
"Shimmer_11_session11_DRINK","129","0","train"
"Shimmer_11_session11_DRINK","130","0","test"
